BUKU 1,,,,,,,,,,,,,
,,,,,,,,,,,,,
Bab,Nota Perubahan,Kalimah Asal (Arab),Jamak/Mufrad,Terjemahan (BM),Terjemahan (BI),Nota BM,Nota English,Nota Nahu (Arab),Nota Nahu (BM),Nota Nahu (English),Nota Sarf (Arab),Nota Sarf (BM),Nota Sarf (English)
1,,هَذَا,,Ini,This,,,اسم إشارة، للمفرد المذكر القريب، مبني,Isim isyarah untuk menunjukkan sesuatu yang dekat dan berbentuk mufrad muzakkar. Kalimah ini bersifat mabni.,A demonstrative pronoun for a nearby singular masculine referent. It is indeclinable.,,,
1,,بَيْتٌ,"بُيُوتٌ (J. Taksir, Ruj: Bab 16)",Rumah,House,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه بُيُوتٌ، جمع تكسير على وزن فُعُول,Jamaknya بُيُوتٌ ialah jamak taksir pada wazan فُعُول.,Its plural بُيُوتٌ is a broken plural on the pattern فُعُول.
1,,مَسْجِدٌ,"مَسَاجِدُ (J. Taksir, Ruj: Bab 22)",Masjid,Mosque,Tempat orang Islam menunaikan solat.,A place where Muslims perform prayer.,اسم مفرد، مذكر، معرب. جمعه مَسَاجِدُ ممنوع من الصرف لصيغة منتهى الجموع,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab. Bentuk jamaknya مَسَاجِدُ ialah mamnu‘ min al-sarf kerana berada pada sighah muntaha al-jumu‘.,A singular masculine and declinable noun. Its plural مَسَاجِدُ is diptotic because it follows ṣīghat muntahā al-jumūʿ.,اسم مكان سماعي من سَجَدَ، على وزن مَفْعِل. جمعه مَسَاجِدُ على وزن مَفَاعِل,Kalimah ini ialah isim makan sama‘i daripada سَجَدَ pada wazan مَفْعِل. Jamaknya مَسَاجِدُ pada wazan مَفَاعِل.,A lexicalized noun of place derived from سَجَدَ on the pattern مَفْعِل. Its plural follows the pattern مَفَاعِل.
1,,بَابٌ,"أَبْوَابٌ (J. Taksir, Ruj: Bab 16)",Pintu,Door,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه أَبْوَابٌ، جمع تكسير على وزن أَفْعَال,Jamaknya أَبْوَابٌ ialah jamak taksir pada wazan أَفْعَال.,Its plural أَبْوَابٌ is a broken plural on the pattern أَفْعَال.
1,,كِتَابٌ,"كُتُبٌ (J. Taksir, Ruj: Bab 16)",Buku,Book,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه كُتُبٌ، جمع تكسير على وزن فُعُل,Jamaknya كُتُبٌ ialah jamak taksir pada wazan فُعُل.,Its plural كُتُبٌ is a broken plural on the pattern فُعُل.
1,,قَلَمٌ,"أَقْلَامٌ (J. Taksir, Ruj: Bab 16)",Pena / Pen,Pen,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه أَقْلَامٌ، جمع تكسير على وزن أَفْعَال,Jamaknya أَقْلَامٌ ialah jamak taksir pada wazan أَفْعَال.,Its plural أَقْلَامٌ is a broken plural on the pattern أَفْعَال.
1,,مِفْتَاحٌ,"مَفَاتِيحُ (J. Taksir, Ruj: Bab 22)",Kunci,Key,,,اسم مفرد، مذكر، معرب. جمعه مَفَاتِيحُ ممنوع من الصرف لصيغة منتهى الجموع,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab. Bentuk jamaknya مَفَاتِيحُ ialah mamnu‘ min al-sarf kerana berada pada sighah muntaha al-jumu‘.,A singular masculine and declinable noun. Its plural مَفَاتِيحُ is diptotic because it follows ṣīghat muntahā al-jumūʿ.,اسم آلة من فَتَحَ، على وزن مِفْعَال. جمعه مَفَاتِيحُ على وزن مَفَاعِيل,Kalimah ini ialah isim alat daripada فَتَحَ pada wazan مِفْعَال. Jamaknya مَفَاتِيحُ pada wazan مَفَاعِيل.,A noun of instrument derived from فَتَحَ on the pattern مِفْعَال. Its plural follows the pattern مَفَاعِيل.
1,,مَكْتَبٌ,"مَكَاتِبُ (J. Taksir, Ruj: Bab 16)",Meja / Pejabat,Desk / Office,"Boleh bermaksud meja tulis atau pejabat, bergantung pada konteks.","It may mean a writing desk or an office, depending on context.",اسم مفرد، مذكر، معرب. جمعه مَكَاتِبُ ممنوع من الصرف لصيغة منتهى الجموع,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab. Bentuk jamaknya مَكَاتِبُ ialah mamnu‘ min al-sarf kerana berada pada sighah muntaha al-jumu‘.,A singular masculine and declinable noun. Its plural مَكَاتِبُ is diptotic because it follows ṣīghat muntahā al-jumūʿ.,اسم مكان من كَتَبَ، على وزن مَفْعَل. جمعه مَكَاتِبُ على وزن مَفَاعِل,Kalimah ini ialah isim makan daripada كَتَبَ pada wazan مَفْعَل. Jamaknya مَكَاتِبُ pada wazan مَفَاعِل.,A noun of place derived from كَتَبَ on the pattern مَفْعَل. Its plural follows the pattern مَفَاعِل.
1,,سَرِيرٌ,"أَسِرَّةٌ (J. Taksir, Ruj: Bab 16)",Katil,Bed,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه أَسِرَّةٌ، جمع تكسير,Jamaknya أَسِرَّةٌ ialah jamak taksir.,Its plural أَسِرَّةٌ is a broken plural.
1,,كُرْسِيٌّ,"كَرَاسِيُّ (J. Taksir, Ruj: Bab 21)",Kerusi,Chair,,,اسم مفرد، مذكر، معرب. جمعه كَرَاسِيُّ ممنوع من الصرف لصيغة منتهى الجموع,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab. Bentuk jamaknya كَرَاسِيُّ ialah mamnu‘ min al-sarf kerana berada pada sighah muntaha al-jumu‘.,A singular masculine and declinable noun. Its plural كَرَاسِيُّ is diptotic because it follows ṣīghat muntahā al-jumūʿ.,جمعه كَرَاسِيُّ، جمع تكسير,Jamaknya كَرَاسِيُّ ialah jamak taksir.,Its plural كَرَاسِيُّ is a broken plural.
